Filename,Time (ps),LJ Energy (kJ/mol),Distance (nm)
dhdl_modified_314.xvg,0.0,1046759.25,0.314
dhdl_modified_315.xvg,0.0,1007672.1875,0.315
dhdl_modified_316.xvg,0.0,970164.25,0.316
dhdl_modified_317.xvg,0.0,934162.0,0.317
dhdl_modified_318.xvg,0.0,899604.3125,0.318
dhdl_modified_319.xvg,0.0,866425.125,0.319
dhdl_modified_320.xvg,0.0,834567.6875,0.32
dhdl_modified_321.xvg,0.0,803974.0,0.321
dhdl_modified_322.xvg,0.0,774592.125,0.322
dhdl_modified_323.xvg,0.0,746369.3125,0.323
dhdl_modified_324.xvg,0.0,719257.25,0.324
dhdl_modified_325.xvg,0.0,693207.625,0.325
dhdl_modified_326.xvg,0.0,668177.8125,0.326
dhdl_modified_327.xvg,0.0,644123.3125,0.327
dhdl_modified_328.xvg,0.0,621003.5625,0.328
dhdl_modified_329.xvg,0.0,598779.5625,0.329
dhdl_modified_330.xvg,0.0,577415.25,0.33
dhdl_modified_331.xvg,0.0,556873.625,0.331
dhdl_modified_332.xvg,0.0,537121.0,0.332
dhdl_modified_333.xvg,0.0,518125.3125,0.333
dhdl_modified_334.xvg,0.0,499854.1875,0.334
dhdl_modified_335.xvg,0.0,482279.21875,0.335
dhdl_modified_336.xvg,0.0,465371.1875,0.336
dhdl_modified_337.xvg,0.0,449103.09375,0.337
dhdl_modified_338.xvg,0.0,433449.5625,0.338
dhdl_modified_339.xvg,0.0,418384.75,0.339
dhdl_modified_340.xvg,0.0,403885.28125,0.34
dhdl_modified_341.xvg,0.0,389928.875,0.341
dhdl_modified_342.xvg,0.0,376493.03125,0.342
dhdl_modified_343.xvg,0.0,363556.65625,0.343
dhdl_modified_344.xvg,0.0,351100.34375,0.344
dhdl_modified_345.xvg,0.0,339104.59375,0.345
dhdl_modified_346.xvg,0.0,327552.28125,0.346
dhdl_modified_347.xvg,0.0,316423.75,0.347
dhdl_modified_348.xvg,0.0,305704.78125,0.348
dhdl_modified_349.xvg,0.0,295376.6875,0.349
dhdl_modified_350.xvg,0.0,285426.09375,0.35
dhdl_modified_351.xvg,0.0,275836.875,0.351
dhdl_modified_352.xvg,0.0,266596.0625,0.352
dhdl_modified_353.xvg,0.0,257688.890625,0.353
dhdl_modified_354.xvg,0.0,249103.53125,0.354
dhdl_modified_355.xvg,0.0,240827.203125,0.355
dhdl_modified_356.xvg,0.0,232847.265625,0.356
dhdl_modified_357.xvg,0.0,225152.984375,0.357
dhdl_modified_358.xvg,0.0,217733.5,0.358
dhdl_modified_359.xvg,0.0,210577.671875,0.359
dhdl_modified_360.xvg,0.0,203675.828125,0.36
dhdl_modified_361.xvg,0.0,197018.40625,0.361
dhdl_modified_362.xvg,0.0,190595.828125,0.362
dhdl_modified_363.xvg,0.0,184399.375,0.363
dhdl_modified_364.xvg,0.0,178420.375,0.364
dhdl_modified_365.xvg,0.0,172650.703125,0.365
dhdl_modified_366.xvg,0.0,167082.40625,0.366
dhdl_modified_367.xvg,0.0,161708.21875,0.367
dhdl_modified_368.xvg,0.0,156520.5,0.368
dhdl_modified_369.xvg,0.0,151512.46875,0.369
dhdl_modified_370.xvg,0.0,146677.453125,0.37
dhdl_modified_371.xvg,0.0,142008.890625,0.371
dhdl_modified_372.xvg,0.0,137501.03125,0.372
dhdl_modified_373.xvg,0.0,133147.453125,0.373
dhdl_modified_374.xvg,0.0,128942.789062,0.374
dhdl_modified_375.xvg,0.0,124881.4375,0.375
dhdl_modified_376.xvg,0.0,120958.375,0.376
dhdl_modified_377.xvg,0.0,117168.273438,0.377
dhdl_modified_378.xvg,0.0,113506.3125,0.378
dhdl_modified_379.xvg,0.0,109967.921875,0.379
dhdl_modified_380.xvg,0.0,106548.664062,0.38
dhdl_modified_381.xvg,0.0,103244.148438,0.381
dhdl_modified_382.xvg,0.0,100050.179688,0.382
dhdl_modified_383.xvg,0.0,96963.039062,0.383
dhdl_modified_384.xvg,0.0,93978.78125,0.384
dhdl_modified_385.xvg,0.0,91093.5625,0.385
dhdl_modified_386.xvg,0.0,88303.960938,0.386
dhdl_modified_387.xvg,0.0,85606.71875,0.387
dhdl_modified_388.xvg,0.0,82998.359375,0.388
dhdl_modified_389.xvg,0.0,80475.570312,0.389
dhdl_modified_390.xvg,0.0,78035.867188,0.39
dhdl_modified_391.xvg,0.0,75675.84375,0.391
dhdl_modified_392.xvg,0.0,73392.992188,0.392
dhdl_modified_393.xvg,0.0,71184.460938,0.393
dhdl_modified_394.xvg,0.0,69047.578125,0.394
dhdl_modified_395.xvg,0.0,66979.914062,0.395
dhdl_modified_396.xvg,0.0,64979.199219,0.396
dhdl_modified_397.xvg,0.0,63042.949219,0.397
dhdl_modified_398.xvg,0.0,61168.921875,0.398
dhdl_modified_399.xvg,0.0,59355.097656,0.399
dhdl_modified_400.xvg,0.0,57599.367188,0.4
dhdl_modified_401.xvg,0.0,55899.632812,0.401
dhdl_modified_402.xvg,0.0,54254.03125,0.402
dhdl_modified_403.xvg,0.0,52660.640625,0.403
dhdl_modified_404.xvg,0.0,51117.945312,0.404
dhdl_modified_405.xvg,0.0,49623.949219,0.405
dhdl_modified_406.xvg,0.0,48176.984375,0.406
dhdl_modified_407.xvg,0.0,46775.652344,0.407
dhdl_modified_408.xvg,0.0,45418.359375,0.408
dhdl_modified_409.xvg,0.0,44103.476562,0.409
dhdl_modified_410.xvg,0.0,42829.726562,0.41
dhdl_modified_411.xvg,0.0,41595.664062,0.411
dhdl_modified_412.xvg,0.0,40399.953125,0.412
dhdl_modified_413.xvg,0.0,39241.390625,0.413
dhdl_modified_414.xvg,0.0,38118.640625,0.414
dhdl_modified_415.xvg,0.0,37030.652344,0.415
dhdl_modified_416.xvg,0.0,35975.984375,0.416
dhdl_modified_417.xvg,0.0,34953.828125,0.417
dhdl_modified_418.xvg,0.0,33963.03125,0.418
dhdl_modified_419.xvg,0.0,33002.566406,0.419
dhdl_modified_420.xvg,0.0,32071.322266,0.42
dhdl_modified_421.xvg,0.0,31168.486328,0.421
dhdl_modified_422.xvg,0.0,30293.095703,0.422
dhdl_modified_423.xvg,0.0,29444.201172,0.423
dhdl_modified_424.xvg,0.0,28621.009766,0.424
dhdl_modified_425.xvg,0.0,27822.574219,0.425
