Filename,Time (ps),LJ Energy (kJ/mol)
dhdl_modified_488.xvg,0.000000,5265.378906
dhdl_modified_489.xvg,0.000000,5136.733887
dhdl_modified_490.xvg,0.000000,5011.454590
dhdl_modified_491.xvg,0.000000,4889.472656
dhdl_modified_492.xvg,0.000000,4770.675781
dhdl_modified_493.xvg,0.000000,4654.981445
dhdl_modified_494.xvg,0.000000,4542.300293
dhdl_modified_495.xvg,0.000000,4432.554199
dhdl_modified_496.xvg,0.000000,4325.651367
dhdl_modified_497.xvg,0.000000,4221.519531
dhdl_modified_498.xvg,0.000000,4120.080078
dhdl_modified_499.xvg,0.000000,4021.260498
dhdl_modified_500.xvg,0.000000,3924.989502
dhdl_modified_501.xvg,0.000000,3831.185791
dhdl_modified_502.xvg,0.000000,3739.796631
dhdl_modified_503.xvg,0.000000,3650.745361
dhdl_modified_504.xvg,0.000000,3563.964844
dhdl_modified_505.xvg,0.000000,3479.401855
dhdl_modified_506.xvg,0.000000,3396.993896
dhdl_modified_507.xvg,0.000000,3316.676514
dhdl_modified_508.xvg,0.000000,3238.394775
dhdl_modified_509.xvg,0.000000,3162.100586
dhdl_modified_510.xvg,0.000000,3087.733154
dhdl_modified_511.xvg,0.000000,3015.242432
dhdl_modified_512.xvg,0.000000,2944.573486
dhdl_modified_513.xvg,0.000000,2875.678223
dhdl_modified_514.xvg,0.000000,2808.516113
dhdl_modified_515.xvg,0.000000,2743.034912
dhdl_modified_516.xvg,0.000000,2679.189941
dhdl_modified_517.xvg,0.000000,2616.934326
dhdl_modified_518.xvg,0.000000,2556.225830
dhdl_modified_519.xvg,0.000000,2497.032959
dhdl_modified_520.xvg,0.000000,2439.303955
dhdl_modified_521.xvg,0.000000,2383.005859
dhdl_modified_522.xvg,0.000000,2328.100098
dhdl_modified_523.xvg,0.000000,2274.547363
dhdl_modified_524.xvg,0.000000,2222.311768
dhdl_modified_525.xvg,0.000000,2171.360840
dhdl_modified_526.xvg,0.000000,2121.662354
dhdl_modified_527.xvg,0.000000,2073.173340
dhdl_modified_528.xvg,0.000000,2025.876465
dhdl_modified_529.xvg,0.000000,1979.733154
dhdl_modified_530.xvg,0.000000,1934.712158
dhdl_modified_531.xvg,0.000000,1890.783813
dhdl_modified_532.xvg,0.000000,1847.924072
dhdl_modified_533.xvg,0.000000,1806.100220
dhdl_modified_534.xvg,0.000000,1765.289795
dhdl_modified_535.xvg,0.000000,1725.466064
dhdl_modified_536.xvg,0.000000,1686.595581
dhdl_modified_537.xvg,0.000000,1648.664551
dhdl_modified_538.xvg,0.000000,1611.643921
dhdl_modified_539.xvg,0.000000,1575.510742
dhdl_modified_540.xvg,0.000000,1540.241821
dhdl_modified_541.xvg,0.000000,1505.812256
dhdl_modified_542.xvg,0.000000,1472.206787
dhdl_modified_543.xvg,0.000000,1439.399170
dhdl_modified_544.xvg,0.000000,1407.372192
dhdl_modified_545.xvg,0.000000,1376.104004
dhdl_modified_546.xvg,0.000000,1345.575317
dhdl_modified_547.xvg,0.000000,1315.768921
dhdl_modified_548.xvg,0.000000,1286.667114
dhdl_modified_549.xvg,0.000000,1258.248779
dhdl_modified_550.xvg,0.000000,1230.499512
dhdl_modified_551.xvg,0.000000,1203.399048
dhdl_modified_552.xvg,0.000000,1176.936768
dhdl_modified_553.xvg,0.000000,1151.090698
dhdl_modified_554.xvg,0.000000,1125.850952
dhdl_modified_555.xvg,0.000000,1101.196411
dhdl_modified_556.xvg,0.000000,1077.117676
dhdl_modified_557.xvg,0.000000,1053.598389
dhdl_modified_558.xvg,0.000000,1030.622925
dhdl_modified_559.xvg,0.000000,1008.180115
dhdl_modified_560.xvg,0.000000,986.255981
dhdl_modified_561.xvg,0.000000,964.837158
dhdl_modified_562.xvg,0.000000,943.913086
